ID         | Before (X, Y)        | After (X, Y)         | Delta (dX, dY)      
--------------------------------------------------------------------------------
1          | 0, 1800              | 0, 1800              | 0, 0                
2          | 300, 1800            | 600, 1800            | 300, 0              
6          | 600, 1800            | 1200, 1800           | 600, 0              
59         | 900, 3600            | 1200, 3600           | 300, 0              
65         | 900, 1650            | 1500, 1650           | 600, 0              
50         | 1200, 1650           | 1800, 1650           | 600, 0              
13         | 1500, 1650           | 2100, 1650           | 600, 0              
3          | 1800, 1800           | 2100, 1800           | 300, 0              
12         | 1800, 0              | 2100, 0              | 300, 0              
18         | 2100, 0              | 2400, 0              | 300, 0              
36         | 2100, 1800           | 2400, 1800           | 300, 0              
24         | 2400, 1650           | 2700, 1650           | 300, 0              
35         | 2400, 3300           | 2700, 3300           | 300, 0              
4          | 2700, 1650           | 3000, 1650           | 300, 0              
38         | 2700, 3300           | 3000, 3300           | 300, 0              
7          | 3000, 1650           | 3600, 1650           | 600, 0              
37         | 3000, 3300           | 3300, 3300           | 300, 0              
44         | 3300, 1650           | 3900, 1650           | 600, 0              
8          | 3600, 3000           | 3900, 3000           | 300, 0              
19         | 3600, 1500           | 3900, 1500           | 300, 0              
10         | 3900, 1500           | 4200, 1500           | 300, 0              
46         | 3900, 3000           | 4200, 3000           | 300, 0              
17         | 4200, 1500           | 4500, 1500           | 300, 0              
45         | 4200, 3000           | 4500, 3000           | 300, 0              
23         | 4500, 1500           | 4800, 1500           | 300, 0              
26         | 4800, 1950           | 5100, 1950           | 300, 0              
40         | 4800, 2700           | 5100, 2700           | 300, 0              
52         | 4800, 600            | 5100, 600            | 300, 0              
60         | 4800, 300            | 5100, 300            | 300, 0              
62         | 4800, 1200           | 5100, 1200           | 300, 0              
63         | 4800, 900            | 5100, 900            | 300, 0              
30         | 5100, 1950           | 5400, 1950           | 300, 0              
58         | 5100, 1200           | 5400, 1200           | 300, 0              
61         | 5100, 600            | 5400, 600            | 300, 0              
64         | 5100, 900            | 5400, 900            | 300, 0              
27         | 5400, 1500           | 5700, 1500           | 300, 0              
31         | 5400, 1800           | 5700, 1800           | 300, 0              
32         | 5400, 2100           | 5700, 2100           | 300, 0              
34         | 5400, 2400           | 5700, 2400           | 300, 0              
28         | 5700, 1500           | 6000, 1500           | 300, 0              
33         | 5700, 2400           | 6000, 2400           | 300, 0              
47         | 5700, 2100           | 6000, 2100           | 300, 0              
43         | 6000, 1500           | 6300, 1500           | 300, 0              
164        | N/A                  | 300, 1800            | ADDED               
165        | N/A                  | 900, 0               | ADDED               
166        | N/A                  | 3300, 0              | ADDED               
Total Modules: 46
